open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
241.92,243.71,240.05,242.7,37564700.0,243.7123,240.05,242.7,241.92,37628940.0,1.0,0.0,AAPL,XNAS,2025-01-08T00:00:00+0000
192.57,196.29,192.38,193.95,24864766.0,196.29,192.38,193.95,192.57,24864766.0,1.0,0.0,GOOGL,XNAS,2025-01-08T00:00:00+0000
423.46,426.97,421.54,424.56,15037300.0,426.97,421.54,424.56,423.46,15054575.0,1.0,0.0,MSFT,XNAS,2025-01-08T00:00:00+0000
193.95,197.64,193.75,195.39,14335341.0,197.64,193.75,195.39,193.95,14335341.0,1.0,0.0,GOOG,XNAS,2025-01-08T00:00:00+0000
223.185,223.52,220.2,222.13,25033292.0,223.52,220.2,222.13,223.185,25033292.0,1.0,0.0,AMZN,XNAS,2025-01-08T00:00:00+0000
227.9,228.381,221.46,222.11,28084164.0,228.381,221.46,222.11,227.9,28084164.0,1.0,0.0,AMZN,XNAS,2025-01-07T00:00:00+0000
242.98,245.55,241.36,242.21,40082828.0,245.55,241.35,242.21,242.98,40855960.0,1.0,0.0,AAPL,XNAS,2025-01-07T00:00:00+0000
198.27,202.14,195.94,196.71,16966760.0,202.14,195.94,196.71,198.27,16966760.0,1.0,0.0,GOOG,XNAS,2025-01-07T00:00:00+0000
197.11,201.0,194.6,195.49,26487244.0,201.0,194.6,195.49,197.11,26487244.0,1.0,0.0,GOOGL,XNAS,2025-01-07T00:00:00+0000
429.0,430.65,420.8,422.37,18122100.0,430.65,420.8,422.37,429.0,18139065.0,1.0,0.0,MSFT,XNAS,2025-01-07T00:00:00+0000
428.0,434.32,425.48,427.85,20545900.0,434.32,425.4774,427.85,428.0,20573648.0,1.0,0.0,MSFT,XNAS,2025-01-06T00:00:00+0000
226.78,228.835,224.84,227.61,31849831.0,228.835,224.84,227.61,226.78,31849831.0,1.0,0.0,AMZN,XNAS,2025-01-06T00:00:00+0000
193.98,198.2222,193.85,196.87,29563638.0,198.2222,193.85,196.87,193.98,29563638.0,1.0,0.0,GOOGL,XNAS,2025-01-06T00:00:00+0000
244.33,247.33,243.84,245.0,41695027.0,247.33,243.2,245.0,244.31,45045571.0,1.0,0.0,AAPL,XNAS,2025-01-06T00:00:00+0000
195.15,199.56,195.06,197.96,19483323.0,199.56,195.06,197.96,195.15,19483323.0,1.0,0.0,GOOG,XNAS,2025-01-06T00:00:00+0000
